Index,Business Name,Status,Quality Score,Emails Found,GPS Status,Hours Status,Phone,Address,Website
1,Lalgarh Palace Bikaner,✅ SUCCESS,68,1,⚠️ GEOCODING FAILED,⚠️ NOT FOUND,,"28HC+4C8, Municipal Rd, Mehron Ka Bas, Bikaner, Rajasthan 334001",https://www.google.com/url?q=http://bikanermc.org/...
2,Gypsy Vegetarian Restaurant Jodhpur,✅ SUCCESS,68,1,⚠️ GEOCODING FAILED,⚠️ NOT FOUND,,"28HC+4C8, Municipal Rd, Mehron Ka Bas, Bikaner, Rajasthan 334001",https://www.google.com/url?q=http://bikanermc.org/...
3,Bikaner Municipality Office,✅ SUCCESS,73,1,⚠️ GEOCODING FAILED,⚠️ NOT FOUND,,"28HC+4C8, Municipal Rd, Mehron Ka Bas, Bikaner, Rajasthan 334001",https://www.google.com/url?q=http://bikanermc.org/...
